DH,distance,ranking,name,team,result,remark
H,500m,1,KRtbm,,34.92;34.9,
H,500m,2,JPngs,,35.1;34.87,
H,500m,3,JPkat,,34.93;35.07,
H,500m,4,KRksl,,35.05;34.98,
H,500m,5,FIptl,,34.86;35.18,
H,500m,6,NLsmk,,35.16;35.05,
H,500m,7,CNfty,,35.11;35.12,
H,500m,8,CAgrg,,35.14;35.12,
H,500m,9,CAwsp,,35.09;35.18,
H,500m,10,CNzhg,,35.17;35.11,
H,500m,11,NLmld,,35.15;35.14,
H,500m,20,NLkpr,,35.66;35.66,
H,500m,29,NLbos,,36.14;36.11,
H,1000m,1,USdvs,,68.94,BR
H,1000m,2,KRtbm,,69.12,
H,1000m,3,UShdr,,69.32,
H,1000m,4,NLgrt,,69.45,
H,1000m,5,NLtrt,,69.48,
H,1000m,6,NLkpr,,69.65,
H,1000m,7,USprs,,69.79,
H,1000m,8,FIptl,,69.85,
H,1000m,9,KRkhl,,69.92,
H,1000m,10,USmrs,,70.11,
H,1000m,11,RUllk,,70.14,
H,1000m,12,NLbos,,70.29,
H,1500m,1,NLtrt,,105.57,BR
H,1500m,2,USdvs,,106.1,
H,1500m,3,NObok,,106.13,
H,1500m,4,RUskb,,106.42,
H,1500m,5,KRtbm,,106.47,
H,1500m,6,UShdr,,106.69,
H,1500m,7,NLkpr,,106.76,
H,1500m,8,NOfll,,106.77,
H,1500m,9,CAmor,,106.93,
H,1500m,10,ITfbr,,107.02,
H,1500m,13,NLkrm,,107.4,
H,1500m,16,NLgrt,,108.03,
H,5km,1,NLkrm,,374.6,OR
H,5km,2,KRlsh,,376.95,
H,5km,3,RUskb,,378.05,
H,5km,4,NObok,,378.8,
H,5km,5,NLdjg,,379.02,
H,5km,6,FRcnt,,379.58,
H,5km,7,ITfbr,,380.53,
H,5km,8,NOchr,,384.8,
H,5km,9,NLblk,,386.3,
H,5km,10,NOhgl,,387.05,
H,5km,11,UShdr,,387.07,
H,5km,12,USdvs,,388.44,
H,10km,1,KRlsh,,778.55,
H,10km,2,RUskb,,782.07,
H,10km,3,NLdjg,,786.73,
H,10km,4,FRcnt,,792.11,
H,10km,5,NObok,,794.92,
H,10km,6,NOhgl,,798.74,
H,10km,7,NOchr,,805.65,
H,10km,8,USkuc,,811.78,
H,10km,9,NLkft,,813.37,
H,10km,10,DEwbr,,815.73,
H,10km,-1,NLkrm,,gediskwalificeerd na foute wissel. <br> Waarschijnlijk op aanwijzing coach Gerard Kemkers,
D,500m,1,KRshl,,38.24;37.85,
D,500m,2,DEwlf,,38.3;37.83,
D,500m,3,CNbwg,,38.48;38.14,
D,500m,4,NLbor,,38.51;38.36,
D,500m,5,JPysh,,38.56;38.43,
D,500m,6,USrch,,38.69;38.47,
D,500m,7,CNshg,,38.53;38.8,
D,500m,8,CNpyu,,38.68;38.77,
D,500m,9,KPhsk,,38.89;38.57,
D,500m,10,CAnbt,,38.88;38.69,
D,500m,11,DEang,,38.76;38.83,
D,500m,15,NLoen,,38.89;38.86,
D,500m,19,NLvrs,,39.3;38.84,
D,500m,-1,NLagt,,97.95 val;38.709,
D,1000m,1,CAnbt,,76.56,
D,1000m,2,NLagt,,76.58,
D,1000m,3,NLvrs,,76.72,
D,1000m,4,CAgrv,,76.78,
D,1000m,5,JPkdr,,76.8,
D,1000m,6,NLbor,,76.94,
D,1000m,7,USrdr,,77.08,
D,1000m,8,NLwst,,77.28,
D,1000m,9,USrch,,77.37,
D,1000m,10,NObkk,,77.43,
D,1000m,11,RUsjc,,77.46,
D,1000m,12,CZerb,,77.53,
D,1500m,1,NLwst,,116.89,BR
D,1500m,2,CAgrv,,117.14,
D,1500m,3,CZsbl,,117.97,
D,1500m,4,NLbor,,118.1,
D,1500m,5,JPkdr,,118.2,
D,1500m,6,CAnbt,,118.33,
D,1500m,7,NLagt,,118.46,
D,1500m,8,RUsjc,,118.54,
D,1500m,9,DEfrs,,118.67,
D,1500m,10,DEans,,118.85,
D,1500m,11,RUlbs,,119.02,
D,1500m,18,NLvrs,,119.79,
D,3km,1,CZsbl,,242.53,BR
D,3km,2,DEbck,,244.62,
D,3km,3,CAgrv,,244.84,
D,3km,4,DEans,,244.9,
D,3km,5,CAhgh,,246.01,
D,3km,6,JPhzm,,247.36,
D,3km,7,NLwst,,248.09,
D,3km,8,NOmhg,,250.01,
D,3km,9,USswp,,251.16,
D,3km,10,NLgrn,,251.25,
D,3km,11,NLvlk,,251.71,
D,3km,12,USrkr,,253.05,
D,5km,1,CZsbl,,410.91,BR
D,5km,2,DEbck,,411.39,
D,5km,3,CAhgh,,415.73,
D,5km,4,DEans,,418.64,
D,5km,5,NOmhg,,422.19,
D,5km,6,CAgrv,,424.57,
D,5km,7,JPhzm,,424.96,
D,5km,8,USrkr,,427.48,
D,5km,9,JPizw,,432.23,
D,5km,10,NLjvr,,433.27,
D,5km,11,NLedv,,436.68,
H,teampursuit,1,CA,Giroux; Makowsky; Morrison,221.37,
